vid,name,Site,Groupe,prefix,Entité,status,Rôle,description,IDENTIFIANT,Groupe de locataires,Rôle Q-in-Q,SVLAN Q-in-Q,Commentaires,Étiquettes,L2VPN,Créé,Dernière mise à jour
90,VLAN_IM_PLATFORMS,,,172.26.240.0/20,,Active,,Plateformes Ingénierie Mécanique,90,,,,,,,2025-05-28T12:58:07.241687+00:00,2025-06-02T14:30:50.130474+00:00
91,DMZ_WEBCONF,,,193.55.116.0/27,,Active,,Serveurs de Web-conférences,91,,,,,,,2025-05-28T12:58:07.256858+00:00,2025-06-02T14:31:45.152376+00:00
92,VLAN_GARDIEN1,,,192.168.241.0/24,,Active,,Logement gardien 1,92,,,,,,,2025-05-28T12:58:07.273529+00:00,2025-06-02T14:32:10.849899+00:00
93,VLAN_GARDIEN2,,,192.168.242.0/24,,Active,,Logement gardien 2,93,,,,,,,2025-05-28T12:58:07.289950+00:00,2025-06-02T14:32:21.717033+00:00
94,VLAN_HX_STORAGE,,,,,Active,,Stockage Hyperflex,94,,,,,,,2025-05-28T12:58:07.315190+00:00,2025-06-02T14:32:37.621602+00:00
95,VLAN_DMZ_ECOCLOUD,,,192.168.149.0/24,,Active,,Projet Ecocloud (B. Eynard/Deltacad/UTT),95,,,,,,,2025-05-28T12:58:07.346731+00:00,2025-06-02T14:32:55.657072+00:00
96,VLAN_VMOTION,,,192.168.14.0/24,,Active,,VMware VMotion,313,,,,,,,2025-06-02T14:33:46.549324+00:00,2025-06-02T14:33:46.549337+00:00
97,DMZ_SI,,,"195.83.155.0/24

    2001:660:4201::/64",,Active,,Serveurs publics,96,,,,,,,2025-05-28T12:58:07.364839+00:00,2025-06-02T14:34:07.637082+00:00
98,DMZ_FSD,,,192.168.68.0/27,,Active,,Sécurité Défense,97,,,,,,,2025-05-28T12:58:07.381836+00:00,2025-06-02T14:34:24.734598+00:00
100,NOTRUST_BF,,,172.24.0.0/18,,Active,,[NO TRUST] Personnel BF,98,,,,,,,2025-05-28T12:58:07.397617+00:00,2025-06-02T14:35:04.651696+00:00
101,NOTRUST_CR,,,172.24.64.0/18,,Active,,[NO TRUST] Personnel CR/CI/CT,99,,,,,,,2025-05-28T12:58:07.438989+00:00,2025-06-02T14:35:31.137884+00:00
102,NOTRUST_PG,,,172.24.128.0/18,,Active,,[NO TRUST] Personnel PG,100,,,,,,,2025-05-28T12:58:07.471449+00:00,2025-06-02T14:35:48.574235+00:00
